
# ALGORITHM_SETUP
# algorithm: hc
# algorithm(class): aitoa.algorithms.HillClimber
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
,list(job=4L,start=655L,end=672L)
,list(job=1L,start=704L,end=740L)
,list(job=17L,start=762L,end=805L)
,list(job=2L,start=805L,end=839L)
,list(job=7L,start=846L,end=870L)
,list(job=6L,start=896L,end=919L)
,list(job=13L,start=919L,end=953L)
,list(job=5L,start=953L,end=976L)
,list(job=11L,start=1052L,end=1062L)
)
,list( list(job=1L,start=41L,end=74L)
,list(job=7L,start=257L,end=297L)
,list(job=5L,start=351L,end=369L)
,list(job=18L,start=431L,end=462L)
,list(job=4L,start=462L,end=481L)
,list(job=16L,start=481L,end=528L)
,list(job=0L,start=528L,end=552L)
,list(job=10L,start=552L,end=597L)
,list(job=12L,start=597L,end=618L)
,list(job=8L,start=633L,end=662L)
,list(job=3L,start=662L,end=672L)
,list(job=15L,start=690L,end=708L)
,list(job=9L,start=708L,end=756L)
,list(job=19L,start=767L,end=802L)
,list(job=6L,start=864L,end=896L)
,list(job=17L,start=938L,end=974L)
,list(job=11L,start=974L,end=1007L)
,list(job=2L,start=1011L,end=1042L)
,list(job=14L,start=1042L,end=1072L)
,list(job=13L,start=1086L,end=1104L)
)
,list( list(job=4L,start=0L,end=47L)
,list(job=18L,start=77L,end=95L)
,list(job=5L,start=102L,end=116L)
,list(job=6L,start=116L,end=131L)
,list(job=16L,start=396L,end=443L)
,list(job=19L,start=443L,end=485L)
,list(job=11L,start=485L,end=514L)
,list(job=12L,start=514L,end=535L)
,list(job=3L,start=535L,end=570L)
,list(job=2L,start=570L,end=610L)
,list(job=9L,start=629L,end=653L)
,list(job=10L,start=667L,end=699L)
,list(job=1L,start=740L,end=779L)
,list(job=8L,start=779L,end=796L)
,list(job=15L,start=810L,end=822L)
,list(job=7L,start=822L,end=846L)
,list(job=14L,start=1025L,end=1041L)
,list(job=13L,start=1041L,end=1073L)
,list(job=0L,start=1073L,end=1089L)
,list(job=17L,start=1089L,end=1136L)
)
,list( list(job=18L,start=0L,end=10L)
,list(job=10L,start=10L,end=33L)
,list(job=9L,start=33L,end=59L)
,list(job=16L,start=59L,end=97L)
,list(job=17L,start=97L,end=144L)
,list(job=15L,start=144L,end=187L)
,list(job=5L,start=187L,end=197L)
,list(job=12L,start=197L,end=210L)
,list(job=13L,start=210L,end=253L)
,list(job=6L,start=253L,end=272L)
,list(job=2L,start=303L,end=331L)
,list(job=7L,start=331L,end=374L)
,list(job=4L,start=374L,end=390L)
,list(job=1L,start=390L,end=412L)
,list(job=19L,start=426L,end=443L)
,list(job=8L,start=443L,end=488L)
,list(job=11L,start=514L,end=558L)
,list(job=3L,start=633L,end=652L)
,list(job=0L,start=834L,end=867L)
,list(job=14L,start=987L,end=1025L)
)
,list( list(job=10L,start=100L,end=115L)
,list(job=4L,start=192L,end=231L)
,list(job=18L,start=231L,end=274L)
